go_acc	go_domain
GO:0000783	cellular_component
GO:0000784	cellular_component
GO:0000785	cellular_component
GO:0000786	cellular_component
GO:0000788	cellular_component
GO:0000789	cellular_component
GO:0000790	cellular_component
GO:0000791	cellular_component
GO:0000792	cellular_component
GO:0000793	cellular_component
GO:0000794	cellular_component
GO:0000795	cellular_component
GO:0000796	cellular_component
GO:0000797	cellular_component
GO:0000799	cellular_component
GO:0000800	cellular_component
GO:0000801	cellular_component
GO:0000802	cellular_component
GO:0000803	cellular_component
GO:0000805	cellular_component
GO:0000806	cellular_component
GO:0000808	cellular_component
GO:0000811	cellular_component
GO:0000812	cellular_component
GO:0000813	cellular_component
GO:0000814	cellular_component
GO:0000815	cellular_component
GO:0000818	cellular_component
GO:0000819	biological_process
GO:0000820	biological_process
GO:0000821	biological_process
GO:0000822	molecular_function
GO:0000823	molecular_function
GO:0000824	molecular_function
GO:0000825	molecular_function
GO:0000827	molecular_function
GO:0000828	molecular_function
GO:0000829	molecular_function
GO:0000831	molecular_function
GO:0000832	molecular_function
GO:0000835	cellular_component
GO:0000836	cellular_component
GO:0000839	cellular_component
GO:0000900	molecular_function
GO:0000902	biological_process
GO:0000904	biological_process
GO:0000915	biological_process
GO:0000916	biological_process
GO:0000917	biological_process
GO:0000921	biological_process
GO:0000922	cellular_component
GO:0000923	cellular_component
GO:0000930	cellular_component
GO:0000932	cellular_component
GO:0000938	cellular_component
GO:0000939	cellular_component
GO:0000940	cellular_component
GO:0000941	cellular_component
GO:0000942	cellular_component
GO:0000956	biological_process
GO:0000957	biological_process
GO:0000958	biological_process
GO:0000959	biological_process
GO:0000961	biological_process
GO:0000962	biological_process
GO:0000963	biological_process
GO:0000964	biological_process
GO:0000965	biological_process
GO:0000966	biological_process
GO:0000971	biological_process
GO:0000972	biological_process
GO:0000973	biological_process
GO:0000974	cellular_component
GO:0000976	molecular_function
GO:0000977	molecular_function
GO:0000978	molecular_function
GO:0000979	molecular_function
GO:0000980	molecular_function
GO:0000981	molecular_function
GO:0000987	molecular_function
GO:0000993	molecular_function
GO:0000994	molecular_function
GO:0000995	molecular_function
GO:0001002	molecular_function
GO:0001003	molecular_function
GO:0001004	molecular_function
GO:0001006	molecular_function
GO:0001010	molecular_function
GO:0001012	molecular_function
GO:0001016	molecular_function
GO:0001018	molecular_function
GO:0001030	molecular_function
GO:0001031	molecular_function
GO:0001032	molecular_function
GO:0001042	molecular_function
GO:0001046	molecular_function
GO:0001047	molecular_function
GO:0001054	molecular_function
GO:0001055	molecular_function
GO:0001056	molecular_function
GO:0001069	molecular_function
GO:0001080	biological_process
GO:0001081	biological_process
GO:0001085	molecular_function
GO:0001091	molecular_function
GO:0001093	molecular_function
GO:0001094	molecular_function
GO:0001096	molecular_function
GO:0001097	molecular_function
GO:0001099	molecular_function
GO:0001100	biological_process
GO:0001102	molecular_function
GO:0001103	molecular_function
GO:0001113	biological_process
GO:0001134	molecular_function
GO:0001135	molecular_function
GO:0001139	molecular_function
GO:0001147	molecular_function
GO:0001156	molecular_function
GO:0001158	molecular_function
GO:0001161	molecular_function
GO:0001162	molecular_function
GO:0001164	molecular_function
GO:0001165	molecular_function
GO:0001172	biological_process
GO:0001174	biological_process
GO:0001179	molecular_function
GO:0001181	molecular_function
GO:0001188	biological_process
GO:0001193	biological_process
GO:0001207	biological_process
GO:0001221	molecular_function
GO:0001222	molecular_function
GO:0001223	molecular_function
GO:0001225	molecular_function
GO:0001226	molecular_function
GO:0001227	molecular_function
GO:0001228	molecular_function
GO:0001300	biological_process
GO:0001302	biological_process
GO:0001306	biological_process
GO:0001315	biological_process
GO:0001401	cellular_component
GO:0001405	cellular_component
GO:0001501	biological_process
GO:0001502	biological_process
GO:0001503	biological_process
GO:0001504	biological_process
GO:0001505	biological_process
GO:0001507	biological_process
GO:0001508	biological_process
GO:0001510	biological_process
GO:0001512	molecular_function
GO:0001514	biological_process
GO:0001515	molecular_function
GO:0001516	biological_process
GO:0001517	molecular_function
GO:0001518	cellular_component
GO:0001519	biological_process
GO:0001520	cellular_component
GO:0001522	biological_process
GO:0001523	biological_process
GO:0001525	biological_process
GO:0001527	cellular_component
GO:0001530	molecular_function
GO:0001532	molecular_function
GO:0001533	cellular_component
GO:0001534	cellular_component
GO:0001536	cellular_component
GO:0001537	molecular_function
GO:0001540	molecular_function
GO:0001541	biological_process
GO:0001542	biological_process
GO:0001543	biological_process
GO:0001544	biological_process
GO:0001545	biological_process
GO:0001546	biological_process
GO:0001547	biological_process
GO:0001550	biological_process
GO:0001552	biological_process
GO:0001553	biological_process
GO:0001554	biological_process
GO:0001555	biological_process
GO:0001556	biological_process
GO:0001558	biological_process
GO:0001560	biological_process
GO:0001561	biological_process
GO:0001562	biological_process
GO:0001567	molecular_function
GO:0001568	biological_process
GO:0001569	biological_process
GO:0001570	biological_process
GO:0001572	biological_process
GO:0001573	biological_process
GO:0001574	biological_process
GO:0001575	biological_process
GO:0001576	biological_process
GO:0001578	biological_process
GO:0001579	biological_process
GO:0001580	biological_process
GO:0001581	biological_process
GO:0001582	biological_process
GO:0001587	molecular_function
GO:0001588	molecular_function
GO:0001591	molecular_function
